idTweet,hashtag,hashtagBrut,indiceStart,indiceEnd
6.72799E+17,socionoel,SocioNoel,29,39
6.72799E+17,3ejour,3ejour,40,47
6.72793E+17,socionoel,SocioNoel,68,78
6.72793E+17,histonoel,HistoNoel,80,90
6.72793E+17,philonoel,PhiloNoel,98,108
6.72783E+17,ff,FF,0,3
6.72783E+17,socionoel,SocioNoel,28,38
6.72782E+17,socionoel,SocioNoel,18,28
6.72778E+17,socionoel,SocioNoel,67,77
6.72499E+17,lt,LT,0,3
6.72756E+17,socionoel,SocioNoel,0,10
6.72756E+17,socio,socio,65,71
6.72756E+17,shs,SHS,75,79
6.72753E+17,socionoel,SocioNoel,10,20
6.72727E+17,socionoel,SocioNoël,10,20
6.72708E+17,ff,FF,0,3
6.72708E+17,socionoel,SocioNoel,37,47
6.72703E+17,socionoel,SocioNoel,0,10
6.72706E+17,socionoel,SocioNoel,61,71
6.72694E+17,socionoel,SocioNoel,5,15
6.72673E+17,socionoel,SocioNoel,128,138
6.72665E+17,socionoel,socionoel,45,55
6.72441E+17,socionoel,SocioNoel,0,10
6.725E+17,lt,LT,0,3
6.725E+17,lt,LT,0,3
6.725E+17,lt,LT,0,3
6.725E+17,lt,LT,0,3
6.72501E+17,lt,LT,0,3
6.72501E+17,lt,LT,0,3
6.72501E+17,lt,LT,0,3
6.72502E+17,lt,LT,0,3
6.72502E+17,lt,LT,0,3
6.72502E+17,socionoel,SocioNoel,102,112
6.72777E+17,socionoel,SocioNoel,89,99
6.72763E+17,socionoel,SocioNoel,0,10
6.72763E+17,day4,Day4,11,16
6.72764E+17,socionoel,SocioNoel,0,10
6.72758E+17,socionoel,SocioNoel,0,10
6.72757E+17,socionoel,SocioNoel,0,10
6.72757E+17,day4,day4,11,16
6.72755E+17,socionoel,SocioNoel,0,10
6.72753E+17,socionoel,SocioNoel,33,43
6.72753E+17,histonoel,HistoNoel,59,69
6.72753E+17,socionoel,SocioNoel,0,10
6.72727E+17,socionoel,SocioNoel,0,10
6.72726E+17,socionoel,SocioNoel,0,10
6.72722E+17,socionoel,SocioNoël,0,10
6.72721E+17,socionoel,SocioNoel,5,15
6.72718E+17,socionoel,SocioNoel,103,113
6.72712E+17,socionoel,SocioNoel,0,10
6.72713E+17,socionoel,SocioNoel,0,10
6.72708E+17,socionoel,SocioNoel,0,10
6.72696E+17,socionoel,SocioNoel,7,17
6.72703E+17,socionoel,SocioNoel,76,86
6.72701E+17,socionoel,SocioNoel,0,10
6.72699E+17,socionoel,SocioNoel,0,10
6.72699E+17,day4,day4,11,16
6.72699E+17,fn,FN,63,66
6.72699E+17,socioponoel,SocioPoNoel,67,79
6.72697E+17,socionoel,SocioNoel,0,10
6.72697E+17,lt,LT,108,111
6.72697E+17,socionoel,SocioNoel,0,10
6.72695E+17,socionoel,SocioNoel,0,10
6.72689E+17,socionoel,SocioNoel,0,10
6.72688E+17,socionoel,SocioNoel,0,10
6.72687E+17,socionoel,SocioNoel,104,114
6.72687E+17,socionoel,SocioNoel,0,10
6.72687E+17,socionoel,SocioNoël,0,10
6.72684E+17,socionoel,socionoel,4,14
6.72684E+17,socionoel,SocioNoel,0,10
6.72682E+17,jour4,jour4,8,14
6.72682E+17,socionoel,SocioNoel,18,28
6.72682E+17,socionoel,SocioNoel,0,10
6.72681E+17,socionoel,SocioNoel,0,10
6.74286E+17,ehrenberg,ehrenberg,92,102
6.74286E+17,socionoel,SocioNoel,103,113
6.74285E+17,socionoel,SocioNoel,0,10
6.74277E+17,socionoel,SocioNoel,0,10
6.74277E+17,day8,Day8,11,16
6.74277E+17,socionoelalinternational,SocioNoelAlinternational,66,91
6.74266E+17,socionoel,SocioNoel,102,112
6.74254E+17,socionoel,SocioNoel,0,10
6.74243E+17,socionoel,SocioNoel,0,10
6.73473E+17,socionoel,SocioNoel,0,10
6.74238E+17,socionoel,SocioNoel,17,27
6.7424E+17,socionoel,SocioNoël,55,65
6.74236E+17,socionoel,SocioNoël,130,140
6.74235E+17,socionoel,SocioNoel,0,10
6.74235E+17,day8,Day8,11,16
6.74236E+17,socionoel,SocioNoel,0,10
6.74236E+17,socionoel,SocioNoel,0,10
6.74236E+17,socionoel,SocioNoel,96,106
6.74235E+17,socionoel,SocioNoel,40,50
6.74235E+17,classic,classic,52,60
6.74222E+17,socionoel,SocioNoel,123,133
6.74221E+17,socionoel,SocioNoel,127,137
6.74217E+17,soro,Soro,67,72
6.74217E+17,sondage,sondage,73,81
6.74217E+17,solutionscop21,SolutionsCOP21,82,97
6.74217E+17,socionoel,SocioNoel,98,108
6.74217E+17,soudandusud,SoudanduSud,109,121
6.74217E+17,southpark,SouthPark,122,132
6.74217E+17,sorogate,SoroGATE,133,142
6.74206E+17,socionoel,SocioNoel,0,10
6.74206E+17,digitallabor,digitallabor,92,105
6.74197E+17,philonoel,PhiloNoel,0,10
6.74197E+17,socionoel,SocioNoel,0,10
6.74193E+17,socionoel,SocioNoel,0,10
6.74193E+17,socionoel,SocioNoel,15,25
6.7419E+17,socionoel,SocioNoel,0,10
6.7418E+17,socionoel,SocioNoel,0,10
6.74179E+17,algerie,Algerie,51,59
6.74179E+17,socionoel,SocioNoel,60,70
6.74179E+17,loveyourself,LoveYourself,71,84
6.74179E+17,londonbridge,LondonBridge,85,98
6.74179E+17,bigstarentertainmentaward,BigStarEntertainmentAward,99,125
6.74179E+17,mtvstars,MTVStars,126,135
6.74178E+17,socionoel,SocioNoel,95,105
6.74177E+17,racisme,racisme,22,30
6.74177E+17,sexisme,sexisme,31,39
6.74177E+17,fn,FN,50,53
6.74177E+17,racismestructurel,racismestructurel,68,86
6.74177E+17,socionoel,SocioNoel,100,110
6.74177E+17,blanchite,blanchite,122,132
6.74175E+17,socionoel,SocioNoel,89,99
6.74169E+17,socionoel,SocioNoel,4,14
6.74169E+17,liberacisme,Libéracisme,52,64
6.74167E+17,socionoel,SocioNoel,18,28
6.74161E+17,anthropo,anthropo,105,114
6.74161E+17,socionoel,SocioNoel,115,125
6.74156E+17,socionoel,SocioNoël,120,130
6.74154E+17,socionoel,SocioNoel,0,10
6.74153E+17,socionoel,SocioNoël,0,10
6.74149E+17,socionoel,SocioNoël,27,37
6.74147E+17,socionoel,SocioNoël,106,116
6.74145E+17,socionoel,SocioNoel,0,10
6.74142E+17,socionoel,SocioNoel,0,10
6.74135E+17,socionoel,SocioNoel,95,105
